,index,text,description,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
118,118,No Travel Advised extended to northern North Dakota,"January 27, 20196:00 p.m. No Travel Advised extended to northern North Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have extended the No Travel Advisory to northern North Dakota due to freezing rain,
snow accumulations, and blowing snow causing hazardous travel conditions, slippery
roads, and reduced visibility. Cities included in the No Travel Advisory are Williston, Minot, Devils Lake, Grand Forks, and
surrounding areas. A No Travel Advisory means conditions are such
that motorists should not travel in these areas. A No Travel Advisory remains
in effect for south central North Dakota due to freezing rain and snow causing
slippery roads as temperatures decrease through the night. Cities included in
the No Travel Advisory are
Selfridge, Linton, Bismarck, Mandan, Glen Ullin, Underwood, Steele, and
surrounding areas.   A Travel Alert remains
in effect for southeast North Dakota due to snow and blowing snow creating
slippery road conditions and areas of reduced visibility. Be cautious when
meeting and passing vehicles as snow fog will reduce visibility. Cities included
in the Travel Alert are Jamestown,
Valley City, Fargo, Wahpeton, and surrounding areas.  The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",No Travel Advised extended at northern North Dakota,At No Travel Advised extended to northern North Dakota,At No Travel Advised extended to northern North Dakota,At No Travel Advised extended to northern North Dakota,At No Travel Advised extended to northern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
119,119,No Travel Advised issued for south central North Dakota,"January 27, 20194:30 p.m. No Travel Advised issued for south central North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have issued a No Travel Advisory for south central North Dakota due to freezing
rain and snow causing slippery roads as temperatures decrease through the
night. Cities included in the No Travel
Advisory are Selfridge, Linton, Bismarck, Mandan, Glen Ullin, Underwood,
Steele, and surrounding areas. A No Travel Advisory means
conditions are such that motorists should not travel in these areas  A Travel Alert remains
in effect for north central, northeast, southeast North Dakota due to snow and
blowing snow creating slippery road conditions and areas of reduced visibility.
Be cautious when meeting and passing vehicles as snow fog will reduce visibility.
Cities included in the Travel Alert are
Minot, Devils Lake, Grand Forks, Jamestown, Valley City, Fargo, Wahpeton, and
surrounding areas.  The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate. 3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",No Travel Advised issued for south central North Dakota,At No Travel Advised issued for south central North Dakota,At No Travel Advised issued for south central North Dakota,At No Travel Advised issued for south central North Dakota,At No Travel Advised issued for south central North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
120,120,Travel Alert extended to southeast North Dakota,"January 27, 20191:25 p.m. Travel Alert extended to southeast North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have extended the Travel Alert to southeast North Dakota due to snow and blowing snow
creating slippery road conditions and areas of reduced visibility. Be cautious
when meeting and passing vehicles as snow fog will reduce visibility. Cities
included in the Travel Alert are Jamestown,
Valley City, Fargo, Wahpeton, and surrounding areas. A Travel Alert means
conditions are such that motorists can still travel in these areas, but
should be advised of rapidly changing conditions. Motorists are encouraged to
reduce speeds and drive according to the conditions.   A Travel Alert remains
in effect for north central and northeast North Dakota due to snow and blowing
snow creating slippery road conditions and areas of reduced visibility. Be cautious
when meeting and passing vehicles as snow fog will reduce visibility. Cities included
in the Travel Alert are Minot, Parshall,
Bottineau, Harvey, Rugby, Devils Lake, Carrington, Grand Forks, Pembina, Drayton,
and surrounding areas.  The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",Travel Alert extended at southeast North Dakota,At Travel Alert extended to southeast North Dakota,At Travel Alert extended to southeast North Dakota,At Travel Alert extended to southeast North Dakota,At Travel Alert extended to southeast North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
121,121,Travel Alert extended to north east North Dakota,"January 27, 201912:00 p.m. Travel Alert extended to north east North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have extended the Travel Alert to north east North Dakota due to snow and blowing
snow creating slippery road conditions and areas of reduced visibility. Be cautious
when meeting and passing vehicles as snow fog will reduce visibility. Cities
included in the Travel Alert are Grand
Forks, Pembina, Drayton, and surrounding areas. A Travel Alert means
conditions are such that motorists can still travel in these areas, but
should be advised of rapidly changing conditions. Motorists are encouraged to
reduce speeds and drive according to the conditions.   A Travel Alert remains
in effect for north central North Dakota due to snow and blowing snow creating
slippery road conditions and areas of reduced visibility. Be cautious when
meeting and passing vehicles as snow fog will reduce visibility. Cities included
in the Travel Alert are Minot, Parshall,
Bottineau, Harvey, Rugby, Devils Lake, Carrington, and surrounding areas.  The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",Travel Alert extended at north east North Dakota,At Travel Alert extended to north east North Dakota,At Travel Alert extended to north east North Dakota,At Travel Alert extended to north east North Dakota,At Travel Alert extended to north east North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
122,122,Travel Alert issued for north central North Dakota,"January 27, 201910:50 a.m. Travel Alert issued for north central North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have issued a Travel Alert for north central North Dakota due to snow and blowing
snow creating slippery road conditions and areas of reduced visibility. Be cautious
when meeting and passing vehicles as snow fog will reduce visibility. Cities
included in the Travel Alert are
Minot, Parshall, Bottineau, Harvey, Rugby, Devils Lake, Carrington, and
surrounding areas. A Travel Alert means conditions are such that motorists
can still travel in these areas, but should be advised of rapidly changing
conditions. Motorists are encouraged to reduce speeds and drive according to
the conditions.   The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",Travel Alert issued for north central North Dakota,At Travel Alert issued for north central North Dakota,At Travel Alert issued for north central North Dakota,At Travel Alert issued for north central North Dakota,At Travel Alert issued for north central North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
123,123,No Travel Advisory lifted for eastern ND; Travel Alert in effect ,"The North Dakota Department of
Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have
LIFTED the No Travel Advisory for eastern North Dakota
including Grand Forks, Jamestown, Valley City, Devils Lake, Fargo, Wahpeton and
surrounding areas. A Travel Alert is in effect for these areas due to
snow and blowing snow creating slippery road conditions and areas of reduced
visibility. Motorists can travel but
are encouraged to wear seat belts, reduce speeds and drive according to the
conditions. 
A Travel Alert remains
in effect for central North Dakota due to snow and blowing snow creating
slippery road conditions and areas of reduced visibility. Cities included are Bismarck, Mandan, Glen Ullin, Underwood,
Napoleon, Steele, Beulah, Minot, and surrounding areas. ATravel Alert means conditions are such that motorists
can still travel, but should be advised of rapidly changing conditions.
Motorists are encouraged to reduce speeds and drive according to the
conditions. 
Motorists are encouraged to reduce speeds, drive
according to the conditions and always wear your seat belt. All travelers
are encouraged to monitor road conditions as weather conditions occur and use
caution while traveling. For road information, call 511 from any type of phone
or go to the Travel Information Map at www.dot.nd.gov.",No Travel Advisory  for eastern ND; Travel Alert at effect ,At No Travel Advisory  for eastern ND; Travel Alert at effect ,At No Travel Advisory  for eastern ND; Travel Alert at effect ,At No Travel Advisory  for eastern ND; Travel Alert at effect ,At No Travel Advisory  for eastern ND; Travel Alert at effect ,{'ND'},{'ND'},{'ND'},{'ND'},{'ND'},{'ND'},{'ND'}
124,124,No Travel Advised extended to south central North Dakota,"January 23, 201910:30 p.m. No Travel Advised extended to south central North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have extended the No Travel Advisory to south central North Dakota due to snow and
blowing snow creating icy road conditions and near zero visibility. Cities
included in the No Travel Advisory are
Valley City, Jamestown, Ellendale, Ashley, and surrounding areas. A No Travel Advisory means
conditions are such that motorists should not travel in these
areas.  A No Travel Advisory remains
in effect for eastern North Dakota
due to snow and blowing snow creating icy road conditions and near zero visibility.
Cities included in the No Travel Advisory
are Grand Forks, Cooperstown, Pembina, Cavalier, Langdon, Devils Lake,
Rugby, Carrington, Fargo, Wahpeton, Gwinner, and surrounding areas. A Travel
Alert remains in effect for southern and central North Dakota due to snow
and blowing snow creating slippery road conditions and areas of reduced
visibility. Cities included are Beach, Dickinson, Bismarck, Mandan, Glen Ullin, Underwood, Napoleon,
Steele, Beulah, Minot, Jamestown, Valley City, and surrounding areas. The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",No Travel Advised extended at south central North Dakota,At No Travel Advised extended to south central North Dakota,At No Travel Advised extended to south central North Dakota,At No Travel Advised extended to south central North Dakota,At No Travel Advised extended to south central North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
125,125,No Travel Advised extended to southeastern North Dakota,"January 23, 20199:25 p.m. No Travel Advised extended to southeastern North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have extended the No Travel Advisory to southeastern North Dakota due to snow and
blowing snow creating icy road conditions and near zero visibility. Cities
included in the No Travel Advisory are
Fargo, Wahpeton, Gwinner, and surrounding areas. A No Travel Advisory means
conditions are such that motorists should not travel in these
areas.  A No Travel Advisory remains
in effect for northeastern North
Dakota due to snow and blowing snow creating icy road conditions and near zero visibility.
Cities included in the No Travel Advisory
are Grand Forks, Cooperstown, Pembina, Cavalier, Langdon, Devils Lake,
Rugby, Carrington, and surrounding areas. A Travel
Alert remains in effect for southern and central North Dakota due to snow
and blowing snow creating slippery road conditions and areas of reduced
visibility. Cities included are Beach, Dickinson, Bismarck, Mandan, Glen Ullin, Underwood, Napoleon,
Steele, Beulah, Minot, Jamestown, Valley City, and surrounding areas.  The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",No Travel Advised extended at southeastern North Dakota,At No Travel Advised extended to southeastern North Dakota,At No Travel Advised extended to southeastern North Dakota,At No Travel Advised extended to southeastern North Dakota,At No Travel Advised extended to southeastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
126,126,No Travel Advised issued for northeastern North Dakota,"January 23, 20198:35 p.m. No Travel Advised issued for northeastern North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have issued a No Travel Advisory for northeastern North Dakota due to snow and
blowing snow creating icy road conditions and near zero visibility. Cities
included in the No Travel Advisory are
Grand Forks, Cooperstown, Pembina, Cavalier, Langdon, Devils Lake, Rugby, Carrington,
and surrounding areas. A No Travel Advisory means conditions are such
that motorists should not travel in these areas.  A Travel
Alert remains in effect for southern and central North Dakota due to snow
and blowing snow creating slippery road conditions and areas of reduced
visibility. Cities included are Beach, Dickinson, Bismarck, Mandan, Glen Ullin, Underwood, Napoleon,
Steele, Beulah, Minot, Jamestown, Valley City, Fargo, and surrounding areas.  The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate 3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
127,127,Travel Alert extended to eastern North Dakota,"January 23, 20197:00 p.m. Travel Alert extended to eastern North Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have extended the Travel Alert to eastern North Dakota due to snow and blowing snow creating
slippery road conditions and areas of reduced visibility. Cities included in
the Travel Alert are Minot, Devils Lake,
Jamestown, Valley City, Grand Forks, Fargo, and surrounding areas. A Travel Alert means
conditions are such that motorists can still travel in these areas, but
should be advised of rapidly changing conditions. Motorists are encouraged to
reduce speeds and drive according to the conditions.  A Travel
Alert remains in effect for south central North Dakota due to snow and
blowing snow creating slippery road conditions and areas of reduced visibility.
Cities included are Dickinson, Bismarck, Mandan,
Glen Ullin, Underwood, Napoleon, Steele, Beulah, and surrounding areas. The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",Travel Alert extended at eastern North Dakota,At Travel Alert extended to eastern North Dakota,At Travel Alert extended to eastern North Dakota,At Travel Alert extended to eastern North Dakota,At Travel Alert extended to eastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
128,128,Travel Alert issued for south central North Dakota,"January 23, 20195:30 p.m. Travel Alert issued for south central North
Dakota The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have issued a Travel Alert for south
central North Dakota due to snow and blowing snow creating slippery road
conditions and areas of reduced visibility. Cities included in the Travel Alert are Dickinson, Bismarck, Mandan,
Glen Ullin, Underwood, Napoleon, Steele, Beulah, and surrounding areas. A Travel Alert means
conditions are such that motorists can still travel in these areas, but
should be advised of rapidly changing conditions. Motorists are encouraged to
reduce speeds and drive according to the conditions.   The
three categories are as follows:1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate.  2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",Travel Alert issued for south central North Dakota,At Travel Alert issued for south central North Dakota,At Travel Alert issued for south central North Dakota,At Travel Alert issued for south central North Dakota,At Travel Alert issued for south central North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
129,129,NDDOT reminds motorists to use caution as blizzard conditions are forecast for eastern ND ,"The North Dakota Department of Transportation (NDDOT) is urging motorists to use caution as blizzard conditions are expected in eastern portions of the state Wednesday night and Thursday. National Weather Service (NWS) has issued a Blizzard Warning for eastern North Dakota from 6 pm Wednesday to noon CST on Thursday, January 24. According to NWS “widespread blowing snow will significantly reduce the visibility. The hazardous conditions will impact the Wednesday evening and Thursday morning commutes. The dangerously cold wind chills as low as 40 below zero could cause frostbite on exposed skin in as little as 10 minutes.” 
NDDOT
snow plows will be out into the evening and then again in the early morning
hours. Snow plows do not run 24 hours a day and motorists are urged to travel
safely and take necessary precautions. 
 

“Know Before You Go” by checking
     road conditions BEFORE you travel. Check the Travel Information Map or call 511. Let someone know
     when you depart, your route, and expected arrival time. Do not leave
     without a full fuel tank.
Never use cruise control on wet or
     ice roadways.
Passing trucks may create snow
     fog. This greatly reduces your visibility. 
Turn on your lights. This will
     increase your visibility to other motorists and snowplow operators. 
Carry a winter survival kit in
     your vehicle: warm clothing, footwear, shovel, energy food, etc.
If your vehicle becomes stuck in a
     snowstorm, stay with the vehicle! Most deaths occur when people leave
     their vehicles and get lost. 

The
NDDOT also issues travel warnings on state highways and interstates. These
warnings should be taken seriously and are for the safety of the traveling
public. There are three categories you should familiarize yourself with:

Travel
     Alert- Motorists can still travel but
     may encounter areas of challenging winter weather driving conditions on
     roadways. 
No
     Travel Advisory- Motorists
     should NOT TRAVEL due to hazardous conditions which make it unsafe
     to travel.
Road
     Closed or Blocked- Motorists
     are not allowed to travel on closed roads due to life threatening
     conditions. 

Be
prepared for winter travel. To learn more about winter driving safety or road
condition information please visit www.dot.nd.gov.",NDDOT reminds motorists at use caution as blizzard conditions are forecast for eastern ND ,At NDDOT reminds motorists to use caution as blizzard conditions are forecast for eastern ND ,At NDDOT reminds motorists to use caution as blizzard conditions are forecast for eastern ND ,At NDDOT reminds motorists to use caution as blizzard conditions are forecast for eastern ND ,At NDDOT reminds motorists to use caution as blizzard conditions are forecast for eastern ND ,{'ND'},{'ND'},{'ND'},{'ND'},{'ND'},{'ND'},{'ND'}
130,130,Travel Alert issued for northeastern North Dakota,"January 21, 20198:20 p.m. 
Travel Alert issued for northeastern North
Dakota 
The North Dakota Department of Transportation (NDDOT) along with
the North Dakota Highway Patrol (NDHP) have issued a Travel Alert northeastern North Dakota due to snow creating slippery
road conditions. Cities included in the Travel
Alert are Grand Forks, Drayton, Pembina, Cavalier, and surrounding areas. A Travel Alert means
conditions are such that motorists can still travel in these areas, but
should be advised of rapidly changing conditions. Motorists are encouraged to
reduce speeds and drive according to the conditions. 

The
three categories are as follows:
1.    TRAVEL ALERT – Motorists can still
travel but may encounter areas of challenging winter weather driving conditions
on roadways. Motorists should allow extra time to reach their destination and
be alert to conditions that may make travel difficult, change rapidly, or cause
travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL
ADVISED if conditions deteriorate. 

2.    NO TRAVEL ADVISED – Motorists should not
travel due to hazardous conditions which may make it unsafe to travel.
Snowplows may be pulled from the roads during severe conditions. Motorists
should take NO TRAVEL ADVISED seriously as those motorists who choose to travel
at their own risk may become stranded and emergency responders may not be able
to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD
CLOSED OR BLOCKED if conditions deteriorate.  
3.    ROAD CLOSED OR BLOCKED – Motorists are not
allowed to travel on a closed road due to life threatening conditions. The road
may be impassible or blocked. Motorists who drive past a road closure device
may be fined up to $250. 
Please be advised that road condition
information on 511 and the travel map is updated daily from 5 a.m. until 10
p.m. CDT. The road report is based upon the information available to the NDDOT
at the time of preparation and is provided solely as a public service.
Conditions may vary from those reported.",Travel Alert issued for northeastern North Dakota,At Travel Alert issued for northeastern North Dakota,At Travel Alert issued for northeastern North Dakota,At Travel Alert issued for northeastern North Dakota,At Travel Alert issued for northeastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
